ID Number  ||   Mark   || Letter Grade
10000      ||	43     ||	D        
10001      ||	26     ||	E        
10002      ||	43     ||	D        
10003      ||	57     ||	C        
10004      ||	100    ||	A        
10005      ||	57     ||	C        
10006      ||	55     ||	C        
10007      ||	60     ||	C        
10008      ||	37     ||	D        
10009      ||	30     ||	E        
10010      ||	50     ||	C        
10011      ||	17     ||	E        
10012      ||	59     ||	C        
10013      ||	57     ||	C        
10014      ||	27     ||	E        
10015      ||	6      ||	E        
10016      ||	49     ||	D        
10017      ||	30     ||	E        
10018      ||	57     ||	C        
10019      ||	56     ||	C        
10020      ||	50     ||	C        
10021      ||	46     ||	D        
10022      ||	50     ||	C        
10023      ||	93     ||	A        
10024      ||	63     ||	C        
10025      ||	11     ||	E        
10026      ||	54     ||	C        
10027      ||	18     ||	E        
10028      ||	48     ||	D        
10029      ||	58     ||	C        
10030      ||	43     ||	D        
10031      ||	81     ||	A        
10032      ||	50     ||	C        
10033      ||	85     ||	A        
10034      ||	71     ||	B        
10035      ||	43     ||	D        
10036      ||	66     ||	B        
10037      ||	81     ||	A        
10038      ||	76     ||	B        
10039      ||	57     ||	C        
10040      ||	60     ||	C        
10041      ||	47     ||	D        
10042      ||	37     ||	D        
10043      ||	36     ||	D        
10044      ||	21     ||	E        
10045      ||	77     ||	B        
10046      ||	34     ||	E        
10047      ||	43     ||	D        
10048      ||	57     ||	C        
10049      ||	67     ||	B        
10050      ||	61     ||	C        
10051      ||	76     ||	B        
10052      ||	53     ||	C        
10053      ||	76     ||	B        
10054      ||	61     ||	C        
10055      ||	58     ||	C        
10056      ||	69     ||	B        
10057      ||	84     ||	A        
10058      ||	37     ||	D        
10059      ||	69     ||	B        
10060      ||	59     ||	C        
10061      ||	82     ||	A        
10062      ||	84     ||	A        
10063      ||	61     ||	C        
10064      ||	57     ||	C        
10065      ||	63     ||	C        
10066      ||	64     ||	C        
10067      ||	46     ||	D        
10068      ||	54     ||	C        
10069      ||	66     ||	B        
10070      ||	70     ||	B        
10071      ||	70     ||	B        
10072      ||	92     ||	A        
10073      ||	77     ||	B        
10074      ||	72     ||	B        
10075      ||	72     ||	B        
10076      ||	61     ||	C        
10077      ||	70     ||	B        
10078      ||	94     ||	A        
10079      ||	50     ||	C        
10080      ||	37     ||	D        
10081      ||	75     ||	B        
10082      ||	70     ||	B        
10083      ||	21     ||	E        
10084      ||	62     ||	C        
10085      ||	71     ||	B        
10086      ||	65     ||	B        
10087      ||	80     ||	A        
10088      ||	85     ||	E        
10089      ||	88     ||	E        
10090      ||	37     ||	E        
10091      ||	83     ||	E        
10092      ||	53     ||	E        
10093      ||	43     ||	E        
10094      ||	84     ||	E        
10095      ||	79     ||	E        
10096      ||	81     ||	E        
10097      ||	57     ||	E        
10098      ||	53     ||	E        
10099      ||	56     ||	E        
