COMPX101-23,A,348,BCompSc,43.91,61.08,B+
COMPX101-22,B,45,BDes,93.85,86.09,A
COMPX101-23,B,310,BCompSc,65.00,79.65,A-
COMPX101-23,A,391,BCompSc,0.00,24.60,IC
COMPX101-22,A,558,,49.23,70.98,B
COMPX101-23,A,394,BCompSc,26.09,42.04,D
,A,534,BCompSc,AA,39.18,E
COMPX101-23,B,269,BSc,0.00,6.75,IC
COMPX101-24,A,173,BSc,0.00,8.87,IC
COMPX101-24,A,124,BCompSc,81.50,82.72,A-
COMPX101-23,A,347,BSc,21.09,25.01,E
COMPX101-22,B,500,BCompSc,36.54,69.91,RP
COMPX101-22,B,506,BE(Hons),61.15,87.50,A
COMPX101-22,A,574,BDes,DD,9.75,IC
COMPX101-23,B,DD,BSc,36.00,61.82,RP
COMPX101-24,A,105,BCompSc,54.50,78.27,B+
COMPX101-22,A,595,IPC,50.38,,B-
COMPX101-23,B,251,BSc,21.00,40.18,D
COMPX101-23,B,288,BDes,66.00,84.75,A
COMPX101-22,B,468,BE(Hons),49.23,72.66,B
COMPX101-22,A,546,BCompSc,70.00,89.30,A
COMPX101-22,A,642,BCompSc,65.00,87.40,A
COMPX101-24,A,35G,BCompSc,91.00,90.88,A+
COMPX101-23,B,272,BDes,74.00,85.59,A
COMPX101-23,A,335,BE(Hons),46.96,63.99,A-
COMPX101-23,B,292,BSc,33.00,50.59,D
COMPX101-22,A,585,58.08,74.67,B+
COMPX101-23,A,328,BDes,31.74,37.15,D
COMPX101-22,B,503,BDes,66.92,89.22,A
COMPX101-24,A,217,BCompSc,53.00,73.33,B
COMPX101-22,B,464,BCompSc,33.85,,D
COMPX101-23,A,332,67.39,79.51,A+
COMPX101-24,A,186,BDes,35.50,47.18,D
COMPX101-22,B,531,BCompSc,58.46,76.87,B+
COMPX101-23,A,326,BE(Hons),53.04,66.79,A-
COMPX101-23,A,BSc,44.57,57.41,B
COMPX101-24,A,199,GradDip,36.50,52.26,D
COMPX101-22,B,499,BBus,21.54,23.72,E
COMPX101-22,A,601,BBus,43.46,56.05,C
COMPX101-23,A,454,BCompSc,31.96,51.88,B
COMPX101-23,B,306,BSc,0.00,0.00,IC
COMPX101-22,A,547,BCompSc,39.23,68.60,B-
COMPX101-22,A,557,BCompSc,0.00,41.30,IC
COMPX101-23,A,356,BCompSc,68.91,79.36,A+
COMPX101-24,A,BCompSc,67.00,84.44,A-
COMPX101-24,A,137,BSc,0.00,1.56,IC
COMPX101-22,A,602,BCompSc,56.92,61.94,C+
COMPX101-22,A,649,BE(Hons),55.77,75.17,B+
