Country,Athlete,G,S,B
China,Zhang Yufei,0,1,5
France,Leon Marchand,4,0,1
United States,Torri Huske,3,2,0
Australia,Mollie O'Callaghan,3,1,1
United States,Regan Smith,2,3,0
Australia,Kaylee McKeown,2,1,2
United States,Simone Biles,3,1,0
Canada,Summer McIntosh,3,1,0
Japan,Shinnosuke Oka,3,0,1
United States,Gretchen Walsh,2,2,0
United States,Kate Douglass,2,2,0
Australia,Ariarne Titmus,2,2,0
United States,Katie Ledecky,2,1,1
Brazil,Rebeca Andrade,1,2,1
China,Yang Junxuan,0,1,3
South Korea,Kim Woojin,3,0,0
South Korea,Lim Sihyeon,3,0,0
United States,Gabrielle Thomas,3,0,0
New Zealand,Lisa Carrington,3,0,0
Netherlands,Harrie Lavreysen,3,0,0
United States,Caeleb Dressel,2,1,0
New Zealand,Ellesse Andrews,2,1,0
China,Pan Zhanle,2,1,0
China,Sun Yingsha,2,1,0
United,States,Nic Fink,1,2,0
China,Zou Jingyuan,1,2,0
China,Xu Jiayu,1,2,0
Australia,Meg Harris,1,2,0
United States,Ryan Murphy,1,1,1
Netherlands,Femke Bol,1,1,1
Australia,Emma McKeon,1,1,1
United States,Sunisa Lee,1,0,2
Netherlands,Sifan Hassan,1,0,2
Great Britain,Emma Finucane,1,0,2
Hungary,Tamara Csipes,0,2,1
China,Zhang Boheng,0,2,1
China,Tang Qianting,0,2,1
Australia,Matthew Richardson,0,2,1
Australia,Kyle Chalmers,0,2,1
South Korea,Oh Sanguk,2,0,0
Philippines,Carlos Edriel Yulo,2,0,0
United States,Kristen Faulkner,2,0,0
United States,Rai Benjamin,2,0,0
United States,Sydney McLaughlin-Levrone,2,0,0
United States,Jennifer Valente,2,0,0
United States,Lee Kiefer,2,0,0
Sweden,Sarah Sjostrom,2,0,0
New Zealand,Alicia Hoskin,2,0,0
Kenya,Beatrice Chebet,2,0,0
Germany,Max Lemke,2,0,0
Germany,Jessica von Bredow-Werndl,2,0,0
Germany,Jacob Schopf,2,0,0
France,Teddy Riner,2,0,0
China,Wang Chuqin,2,0,0
China,Chen Yiwen,2,0,0
China,Fan Zhendong,2,0,0
China,Chen Meng,2,0,0
China,Quan Hongchan,2,0,0
China,Sheng Lihao,2,0,0
Belgium,Remco Evenepoel,2,0,0
Australia,Shayna Jack,2,0,0
Australia,Jessica Fox,2,0,0
South Korea,Nam Suhyeon,1,1,0
Portugal,Iuri Leitao,1,1,0
Saint Lucia Julien Alfred,1,1,0
Ecuador,Brian Daniel Pintado,1,1,0
Botswana,Letsile Tebogo,1,1,0
United States,Charlie Swanson,1,1,0
United States,Alex Shackell,1,1,0
United States,Lauren Scruggs,1,1,0
United States,Sha'Carri Richardson,1,1,0
United States,Chris Guiliano,1,1,0
United States,Kaylyn Brown,1,1,0
United States,Hunter Armstrong,1,1,0
United States,Jack Alexy,1,1,0
United States,Bobby Finke,1,1,0
United States,Vernon Norwood,1,1,0
